what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.recommenders.completion.rcp.chain,1.0.5.v20130822-0858-b90,"org.eclipse.recommenders.completion.rcp.chain",1394128273226
stopped,bundle,org.eclipse.recommenders.completion.rcp.overrides,1.0.5.v20130822-0858-b90,"org.eclipse.recommenders.completion.rcp.overrides",1394128273226
stopped,bundle,org.eclipse.recommenders.completion.rcp,1.0.5.v20130822-0858-b90,"org.eclipse.recommenders.completion.rcp",1394128273226
stopped,bundle,org.eclipse.recommenders.extdoc.rcp,1.0.5.v20130822-0858-b90,"org.eclipse.recommenders.extdoc.rcp",1394128273231
stopped,bundle,org.eclipse.recommenders.rcp,1.0.5.v20130822-0858-b90,"org.eclipse.recommenders.rcp",1394128273231
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.200.v20130326-1254,"org.eclipse.ui.cheatsheets",1394128273231
stopped,bundle,org.eclipse.help.ui,4.0.1.v20130708-1201,"org.eclipse.help.ui",1394128273231
stopped,bundle,org.eclipse.help.webapp,3.6.200.v20130514-1258,"org.eclipse.help.webapp",1394128273231
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1394128273231
stopped,bundle,org.eclipse.ui.intro.universal,3.2.600.v20130326-1254,"org.eclipse.ui.intro.universal",1394128273231
stopped,bundle,org.eclipse.ui.intro,3.4.200.v20130326-1254,"org.eclipse.ui.intro",1394128273231
stopped,bundle,org.eclipse.help.base,4.0.0.v20130911-1000,"org.eclipse.help.base",1394128273231
stopped,bundle,org.eclipse.equinox.http.jetty,3.0.100.v20130327-1442,"org.eclipse.equinox.http.jetty",1394128273236
stopped,bundle,org.eclipse.recommenders.utils.rcp,1.0.5.v20130822-0858-b90,"org.eclipse.recommenders.utils.rcp",1394128273236
stopped,bundle,org.eclipse.m2e.core.ui,1.4.0.20130601-0317,"org.eclipse.m2e.core.ui",1394128273236
stopped,bundle,org.eclipse.m2e.core,1.4.0.20130601-0317,"org.eclipse.m2e.core",1394128273236
stopped,bundle,org.eclipse.mylyn.hudson.ui,1.1.1.v20130917-0100,"org.eclipse.mylyn.hudson.ui",1394128273236
stopped,bundle,org.eclipse.mylyn.hudson.core,1.1.1.v20130917-0100,"org.eclipse.mylyn.hudson.core",1394128273236
stopped,bundle,org.eclipse.mylyn.git.ui,1.1.1.v20130917-0100,"org.eclipse.mylyn.git.ui",1394128273241
stopped,bundle,org.eclipse.mylyn.git.core,1.1.1.v20130917-0100,"org.eclipse.mylyn.git.core",1394128273241
stopped,bundle,org.eclipse.recommenders.injection,1.0.5.v20130822-0858-b90,"org.eclipse.recommenders.injection",1394128273241
stopped,bundle,org.eclipse.mylyn.ide.ant,3.9.1.v20130917-0100,"org.eclipse.mylyn.ide.ant",1394128273241
stopped,bundle,org.eclipse.ant.ui,3.5.400.v20130514-1341,"org.eclipse.ant.ui",1394128273241
stopped,bundle,org.eclipse.ant.launching,1.0.300.v20130514-1341,"org.eclipse.ant.launching",1394128273246
stopped,bundle,org.eclipse.compare.win32,1.0.200.v20130514-1224,"org.eclipse.compare.win32",1394128273246
stopped,bundle,org.eclipse.egit.mylyn.ui,3.0.3.201309161630-r,"org.eclipse.egit.mylyn.ui",1394128273246
stopped,bundle,org.eclipse.egit.ui,3.0.3.201309161630-r,"org.eclipse.egit.ui",1394128273246
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.300.v20130503-1750,"org.eclipse.equinox.p2.ui.sdk",1394128273251
stopped,bundle,org.eclipse.mylyn.builds.ui,1.1.1.v20130917-0100,"org.eclipse.mylyn.builds.ui",1394128273251
stopped,bundle,org.eclipse.mylyn.java.tasks,3.9.1.v20130917-0100,"org.eclipse.mylyn.java.tasks",1394128273251
stopped,bundle,org.eclipse.mylyn.java.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.java.ui",1394128273251
stopped,bundle,org.eclipse.jdt.junit,3.7.200.v20130514-0733,"org.eclipse.jdt.junit",1394128273251
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20120516-0617,"org.eclipse.jdt.apt.ui",1394128273251
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.200.v20130514-0841,"org.eclipse.jdt.debug.ui",1394128273256
stopped,bundle,org.eclipse.wb.swing.databinding,1.6.1.r43x201309100023,"org.eclipse.wb.swing.databinding",1394128273256
stopped,bundle,org.eclipse.wb.core.databinding,1.6.1.r43x201309092318,"org.eclipse.wb.core.databinding",1394128273256
stopped,bundle,org.eclipse.wb.swing.FormLayout,1.6.1.r43x201309100023,"org.eclipse.wb.swing.FormLayout",1394128273256
stopped,bundle,org.eclipse.wb.swing.MigLayout,1.6.1.r43x201309100023,"org.eclipse.wb.swing.MigLayout",1394128273256
stopped,bundle,org.eclipse.wb.swing.java6,1.6.1.r43x201309100023,"org.eclipse.wb.swing.java6",1394128273281
